Company,Current_Price_INR,PE_Ratio,Market_Cap_Crore,Quarterly_Profit_Growth_Percent,Quarterly_Sales_Growth_Percent,ROCE_Percent,Expected_PE_Ratio,Cap_Category,Is_profitable
Abirami Fin.,32.5,34.41,17.55,18.18,0.0,3.45,27.500423083432054,Micro Cap,True
ABM Knowledge,201.77,32.16,403.58,-35.04,11.16,7.51,310.60652709359607,Micro Cap,True
Abram Food,71.87,15.76,37.04,-54.2,159.11,13.48,156.9213973799127,Micro Cap,True
Abril Paper,38.1,20.27,30.41,-24.56,-2.31,12.28,50.503711558854725,Micro Cap,True
ABS Marine,239.95,7.36,589.08,154.86,83.46,20.98,94.14972926312484,Small Cap,True
ACC,1337.9,11.84,25124.06,-62.87,16.87,11.25,3603.2857527605706,Large Cap,True
Accedere,78.99,53.41,38.99,3250.0,86.67,16.67,2.357910447761194,Micro Cap,True
Accel,13.41,11.71,78.02,477.05,-8.73,7.02,2.323888744476215,Micro Cap,True
AccelerateBS Ind,93.1,37.22,32.01,-106.67,-13.03,18.17,-1395.802098950525,Micro Cap,True
Accelya Solution,1102.8,15.76,1646.07,-29.32,-0.47,53.61,1560.2716468590831,Small Cap,True
Accent Microcell,459.65,25.14,1102.66,55.36,51.34,24.88,295.8612255406797,Small Cap,True
Accord Synergy,133.25,34.78,46.26,162.07,22.78,9.24,50.845194032128816,Micro Cap,True
Accord Transformer,57.0,26.06,117.27,-40.37,-26.39,14.5,95.58946838839509,Micro Cap,True
Accretion Nutraveda,258.8,36.96,187.37,56.4,80.09,27.56,165.47314578005114,Micro Cap,True
Accretion Pha.,149.15,17.15,165.8,13.63,18.24,28.89,131.2593505236293,Micro Cap,True
Accuracy Shippi.,5.59,21.47,84.16,166.23,-31.99,6.98,2.0996882394921683,Micro Cap,True
ACE Alpha Tech,120.0,13.88,210.7,49.9,102.52,39.92,80.0533689126084,Micro Cap,True
Ace Engitech,128.0,0.0,10.99,0.0,0.0,0.0,128.0,Micro Cap,False
Ace Integrated,20.86,0.0,21.28,75.36,-93.75,-6.79,11.895529197080291,Micro Cap,False
Ace Men,97.45,786.56,125.85,0.0,0.0,0.0,97.45,Micro Cap,True
Ace Soft. Exp.,110.8,36.87,161.11,-119.38,7.24,5.83,-571.7234262125903,Micro Cap,True
Acetech E-Commerce,121.0,19.28,198.24,100.89,6.81,33.55,60.231967743541254,Micro Cap,True
Achyut Healthcar,7.96,600.38,192.12,-50.0,377.17,1.23,15.92,Micro Cap,True
ACI Infocom,1.26,0.0,13.92,318.18,-100.0,-11.14,0.3013056578506863,Micro Cap,False
Acknit Indus.,285.15,10.6,86.69,14.24,2.15,9.5,249.60609243697476,Micro Cap,True
Acme Resources,29.52,53.52,76.0,519.64,-64.56,1.7,4.764056548963914,Micro Cap,True
ACME Solar Hold.,357.2,50.81,25249.55,0.86,12.52,8.89,354.1542732500496,Large Cap,True
Acrow India,906.0,134.84,57.98,92.59,-67.59,2.65,470.4294096266681,Micro Cap,True
ACS Tech,44.83,34.21,272.31,16.67,196.24,10.28,38.4246164395303,Micro Cap,True
Action Const.Eq.,988.1,28.35,11766.61,-6.45,7.13,31.7,1056.2266167824694,Mid Cap,True
Active Clothing,119.5,18.44,185.37,-0.61,6.39,10.61,120.23342388570279,Micro Cap,True
Active Infra.,178.5,26.2,268.02,8.51,2.59,9.53,164.50096765275092,Micro Cap,True
Acutaas Chemical,3300.0,75.84,27017.47,110.88,40.28,31.56,1564.8710166919575,Large Cap,True
AD Manum Finance,63.0,4.43,47.25,75.0,37.69,14.92,36.0,Micro Cap,True
Adani Energy Sol,1507.8,80.8,181129.4,5.66,16.76,9.65,1427.030096536059,Large Cap,True
Adani Enterp.,3038.0,0.0,395214.95,-121.16,20.3,5.8,-14357.27788279773,Large Cap,False
Adani Green,1526.1,137.32,251375.55,55.75,13.96,7.39,979.8394863563402,Large Cap,True
Adani Ports,1796.0,31.92,413791.05,11.43,26.5,14.12,1611.7742080229739,Large Cap,True
Adani Power,229.27,34.61,442140.2,52.34,-0.1,17.22,150.4988840750952,Large Cap,True
Adani Total Gas,719.8,124.97,79164.33,4.32,15.92,15.09,689.9923312883436,Large Cap,True
Adarsh Plant,29.78,0.0,29.51,104.69,-27.83,5.97,14.548829937954958,Micro Cap,False
ADC India,2464.75,59.89,1133.79,18.98,33.89,31.44,2071.566649857119,Small Cap,True
Adcon Capital,0.57,0.0,11.31,-662.26,163.1,-3.15,-0.1013765873439334,Micro Cap,False
Adcounty Media.,101.95,11.44,229.4,61.11,33.25,37.04,63.27974675687419,Micro Cap,True
Add-Shop E-Reta.,7.07,19.07,20.02,0.0,14.6,1.96,7.07,Micro Cap,True
Addi Industries,88.95,40.69,96.04,-57.83,0.0,4.37,210.93194213896138,Micro Cap,True
Addictive Learn,42.95,0.0,68.33,-205.92,-12.74,-0.11,-40.54947129909367,Micro Cap,False
Adeshwar Meditex,13.0,14.89,18.76,-60.45,-30.44,5.21,32.86978508217447,Micro Cap,True
ADF Foods,300.5,34.85,3301.4,57.6,23.68,22.82,190.6725888324873,Small Cap,True
Adhata Global,34.5,0.0,16.27,-263.04,-90.08,-29.8,-21.160451422963686,Micro Cap,False
Adhbhut Infra.,14.05,0.0,15.46,-66.67,0.0,0.0,42.15421542154216,Micro Cap,False
Adinath Textiles,21.72,295.8,14.79,-80.0,0.0,1.33,108.60000000000002,Micro Cap,True
Adisoft Technol.,190.0,13.52,310.04,84.0,46.4,38.0,103.2608695652174,Micro Cap,True
Adit.Birla Money,140.87,13.09,796.05,100.75,30.5,9.86,70.17185554171854,Small Cap,True
Aditya AMC,1141.2,33.77,33003.9,-17.96,6.85,32.24,1391.0287664553875,Large Cap,True
Aditya Bir. Fas.,60.12,0.0,7337.71,-13.52,15.74,-3.07,69.51896392229416,Mid Cap,False
Aditya Birla Cap,390.8,28.1,106852.78,29.46,10.19,8.72,301.8693032596941,Large Cap,True
Aditya Consumer,33.31,0.0,48.75,102.6,-6.12,-6.4,16.44126357354393,Micro Cap,False
Aditya Infotech,3558.5,113.97,41937.1,207.73,45.49,29.61,1156.3708445715401,Large Cap,True
Aditya Ispat,9.9,0.0,5.3,-796.49,14.69,-36.24,-1.4214130856150125,Micro Cap,False
Aditya Spinners,16.13,87.1,27.0,800.0,-1.87,0.49,1.7922222222222222,Micro Cap,True
Aditya Ultra,21.4,13.22,53.15,-17.19,-18.99,7.36,25.842289578553316,Micro Cap,True
Aditya Vision,660.5,72.25,8529.57,35.98,28.42,16.97,485.7331960582439,Mid Cap,True
Adjia Tech,61.82,0.0,5.44,-150.0,-100.0,-7.11,-123.64,Micro Cap,False
Admach Systems,300.1,20.3,203.25,30.97,26.99,25.04,229.13644346033448,Micro Cap,True
Adon Agro,0.0,22.49,162.59,0.0,0.0,69.51,0.0,Micro Cap,True
Ador Welding,1229.3,24.13,2139.33,53.77,3.24,22.45,799.4407231579631,Small Cap,True
Adroit Info.,8.82,14.48,47.78,117.8,25.67,6.54,4.049586776859504,Micro Cap,True
Adtech Systems,58.16,20.26,69.29,-43.68,33.56,9.31,103.26704545454547,Micro Cap,True
Advait Energy,2274.7,48.13,2489.21,55.55,18.04,27.91,1462.3593699774992,Small Cap,True
Advance Agrolife,110.13,20.07,707.98,421.68,37.9,19.28,21.110642539487806,Small Cap,True
Advance Lifes.,30.54,4.24,19.01,1403.7,0.0,9.94,2.0309902241138524,Micro Cap,True
Advance Meter.,20.33,0.0,32.65,11.69,-25.62,-8.22,18.20216671143343,Micro Cap,False
Advance Petroch.,232.15,696.33,20.89,-7.41,3.83,7.25,250.72902041257157,Micro Cap,True
Advance Syntex,5.17,0.0,5.74,0.0,0.0,-5.26,5.17,Micro Cap,False
Advanced Enzyme,348.35,24.31,3900.69,61.91,21.65,13.89,215.15039219319377,Small Cap,True
Advani Hotels.,53.24,20.05,492.14,3.4,5.97,10.86,51.48936170212766,Micro Cap,True
Advent Hotels,144.57,16.07,779.85,-62.31,6.8,6.78,383.57654550278585,Small Cap,True
Advik Capital,1.29,0.0,78.5,-383.95,-122.11,8.42,-0.45430533544638146,Micro Cap,False
Advit Jewels,0.0,24.92,632.18,0.0,0.0,39.08,0.0,Small Cap,True
Aegis Logistics,1140.65,44.58,40036.82,45.69,52.16,13.58,782.929507859153,Large Cap,True
Aegis Vopak Term,233.19,83.22,25837.25,17.55,22.23,7.33,198.37515950659295,Large Cap,True
Aelea Commoditi.,155.25,14.83,316.23,583.14,120.14,20.91,22.725941973826743,Micro Cap,True
Aeonx Digital,105.8,0.0,48.67,-159.4,72.91,0.46,-178.1144781144781,Micro Cap,False
Aequs,228.95,0.0,15354.89,-739.04,47.26,1.55,-35.8271782674011,Mid Cap,False
Aeroflex,466.65,111.21,6175.22,57.08,37.25,18.77,297.0779220779221,Mid Cap,True
Aeroflex Enter.,137.6,24.02,1556.05,120.59,24.09,12.58,62.37816764132554,Small Cap,True
Aeroflex Neu,90.01,133.6,232.19,-361.11,0.5,4.56,-34.47206158324078,Micro Cap,True
Aeron Composites,77.95,14.97,132.67,-75.83,-5.14,9.77,322.50724038063714,Micro Cap,True
Aerpace Indus,32.31,0.0,497.12,-192.75,0.0,-21.52,-34.8355795148248,Micro Cap,False
Aesthetik Engi.,74.0,17.87,127.43,-26.72,99.11,17.64,100.9825327510917,Micro Cap,True
Aether Industri.,1325.1,77.73,17585.8,4.78,27.03,11.92,1264.649742317236,Mid Cap,True
Afcom Holdings,1238.0,29.15,3552.89,72.83,89.59,33.49,716.3108256668403,Small Cap,True
Afcons Infrastr.,319.35,40.74,11745.2,-179.69,-18.91,13.63,-400.74036892960225,Mid Cap,True
Affle 3i,1449.7,44.87,20411.25,15.95,20.28,16.84,1250.2802932298405,Large Cap,True
Affordable Robo.,169.49,28.82,200.86,107.83,-39.67,8.8,81.55223018813453,Micro Cap,True
AFLOAT Enterpris,11.61,0.0,14.58,-71.19,-86.89,0.0,40.298507462686565,Micro Cap,False
AG Ventures,123.4,24.32,123.28,-103.41,-9.38,2.38,-3618.7683284457457,Micro Cap,True
Agarwal Float,39.6,19.51,28.68,-98.08,-32.16,10.06,2062.5000000000005,Micro Cap,True
Agarwal Fortune,19.2,110.0,6.6,-90.0,-81.97,11.21,192.00000000000003,Micro Cap,True
Agarwal Indl.,546.2,18.75,816.99,-48.43,-50.77,7.92,1059.1429125460538,Small Cap,True
Agarwal Toughene,125.9,10.3,222.52,-12.14,48.52,22.97,143.2961529706351,Micro Cap,True
AGI Greenpac,688.7,12.52,4455.71,19.66,5.33,19.6,575.5473842553903,Small Cap,True
AGI Infra,370.25,48.79,4628.03,69.57,5.81,20.11,218.34640561420062,Small Cap,True
Agio Paper,3.7,0.0,5.97,-2.56,0.0,-201.55,3.797208538587849,Micro Cap,False
Agni Green,18.8,26.42,36.73,136.17,-13.36,8.97,7.960367531862642,Micro Cap,True
Agri-Tech India,115.07,0.0,68.35,3.85,33.33,-1.11,110.80404429465575,Micro Cap,False
Agribio Spirits,298.1,80.51,324.46,36.36,174.95,5.52,218.61249633323558,Micro Cap,True
Agro Phos India,30.32,8.72,61.47,-123.93,7.04,15.05,-126.70288340994564,Micro Cap,True
AGS Transact,2.69,0.0,34.55,-1163.07,-43.92,1.26,-0.25304072168342634,Micro Cap,False
Ahasolar Technol,76.0,111.57,23.43,-83.42,59.48,2.87,458.3835946924006,Micro Cap,True
Ahlada Engineers,39.69,284.89,51.28,-207.22,-33.15,2.69,-37.01734750979295,Micro Cap,True
Ahluwalia Contr.,848.1,21.37,5681.21,-1.57,8.76,20.45,861.6275525754344,Mid Cap,True
